id,name,set,setId,date,circulation
2d0903c9-6a67-4819-a067-9c881de1ef4b,LeBron James,Deck the Hoops,54bc2e0d-91e9-4f4c-9361-a8d7eeefe91e,2020-12-26T01:00:00Z,85
0bd93b8f-bfe6-427c-9be3-5179d4892726,Anthony Davis,Metallic Gold LE,33a4a3a3-a32c-4925-a4e8-7d24e56b105e,2020-12-26T01:00:00Z,499
715bac73-3bc7-40d2-905c-783e2bef516d,Josh Okogie,Throwdowns,2dbc545a-25a5-4208-8e89-bbb6c3e3a364,2020-02-23T23:00:00Z,275
79988343-3301-41b2-8870-286ddc1ddad3,Nemanja Bjelica,For the Win,252e83ac-b3a4-407e-82d2-138beb60b5b9,2019-12-10T01:00:00Z,199
ff3f472f-335e-41a1-9557-7c369793b9f0,Hassan Whiteside,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-21T03:00:00Z,299
d7b7d67e-2e13-4b79-8d75-6e5a246808b6,Dillon Brooks,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-04T20:30:00Z,299
9efe1583-9c4f-4351-aef3-4794e7c3ae29,Torrey Craig,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-10-26T01:00:00Z,299
7baad966-60e3-4a48-bb85-954375c560e1,Langston Galloway,Holo MMXX,814c5183-596f-41d7-9135-c6b29faa9c6d,2019-12-17T00:00:00Z,50
750ca511-3ee7-4c7f-bba8-ebaa997fe991,Spencer Dinwiddie,Cosmic,c561f66b-5bd8-451c-8686-156073c3fb69,2019-11-26T00:00:00Z,49
4c21a774-5e77-4f3a-b414-617f0cc42f74,Jonas Valančiūnas,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-01-12T23:00:00Z,2981
e6e12295-181d-4d17-84ab-bb87dc7f437a,Nerlens Noel,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-12-09T02:00:00Z,3346
ddc54fac-555c-47f5-b6ee-41996aa1ed10,Jarrett Allen,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-08T00:30:00Z,299
34d76a82-c293-4c04-8f84-335d8e9239cc,Russell Westbrook,Holo MMXX,814c5183-596f-41d7-9135-c6b29faa9c6d,2019-12-10T01:00:00Z,50
45afe5ed-a21d-4cb1-90fe-738cb890c550,Coby White,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-10-26T00:00:00Z,2979
eb8c4096-cfaf-463c-93f3-8021d632d906,Kelly Olynyk,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-10-04T23:30:00Z,299
676d0ea0-deba-435a-970f-1e0e69064723,Kyle Lowry,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2014-04-30T23:30:00Z,275
3901759c-aec2-43af-8378-6f51dbb1b719,Giannis Antetokounmpo,Base Set,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,2020-12-24T00:30:00Z,4000
4cc18778-4a89-484b-87b7-45f43acd1b58,Jrue Holiday,Metallic Gold LE,33a4a3a3-a32c-4925-a4e8-7d24e56b105e,2020-12-28T00:30:00Z,499
bae1c7dd-2fa6-487a-b711-3eee3573f3c6,Rudy Gobert,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-25T22:00:00Z,299
d41d9323-aab7-47d3-83ea-4871fcc72bb9,Kyle Lowry,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-01-18T00:00:00Z,1532
f2a3c763-f7ff-4342-a209-44a34cdf1d02,Damian Lillard,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-10-24T02:00:00Z,1433
7baad966-60e3-4a48-bb85-954375c560e1,Langston Galloway,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-12-17T00:00:00Z,299
41a6a797-7fe9-4ed3-b96c-d0b533248670,Collin Sexton,Early Adopters,28eddc41-6a11-4ff8-8ec6-15041aa01e80,2019-10-30T23:00:00Z,1325
92f4ecc2-6f75-47bf-9eb7-3d3756b83157,RJ Barrett,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-10-24T00:30:00Z,2882
45afe5ed-a21d-4cb1-90fe-738cb890c550,Coby White,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-10-26T00:00:00Z,299
f9f9cec9-acbe-42da-8fa1-1c623f095f59,Rui Hachimura,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-11-09T00:00:00Z,299
82fba3e8-eff4-402d-b45a-9c65ff8e1220,Landry Shamet,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-08-22T01:00:00Z,2851
99bd66dc-3ea3-4333-8fb3-b46c24b688e1,Chris Paul,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-01-10T02:30:00Z,1434
444c81fe-34ae-4bfc-87f0-0a090e39059e,Kawhi Leonard,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-10-29T02:30:00Z,1000
444c81fe-34ae-4bfc-87f0-0a090e39059e,Kawhi Leonard,Hometown Showdown: Cali vs. NY,a3a4f935-4d05-4166-b8c4-ce8e52eb3ca3,2019-10-29T02:30:00Z,1000
a2f7eaeb-51e2-423c-bb21-f4e201a9e171,Dennis Smith Jr.,Lace 'Em Up,3a0ae6ce-f22e-4d98-b1fe-906f859df983,2020-02-27T00:00:00Z,75
bda6ced4-49f9-47ce-b26e-7ff49462e5e7,Cedi Osman,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-02-06T01:00:00Z,299
0a35b9f9-aecb-410c-a88c-8d9a2a46fe95,Caris LeVert,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-11-01T23:00:00Z,1428
de32d3fb-0e6a-447e-b42a-08bbf1607b7d,LeBron James,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-11-16T03:30:00Z,1000
632d3d29-8b76-4f30-9d83-f5be86f3d71e,Cam Reddish,Throwdowns,2dbc545a-25a5-4208-8e89-bbb6c3e3a364,2019-10-29T23:30:00Z,275
eb356b1c-f2d4-4111-88ad-f2e4402afe7b,Cam Reddish,With the Strip,4e166b27-3099-44c3-9de3-cac2b9751692,2020-02-21T00:30:00Z,499
632d3d29-8b76-4f30-9d83-f5be86f3d71e,Cam Reddish,Rookie Debut,18b2d80e-d38d-4678-9b7f-c2bfb223259e,2019-10-29T23:30:00Z,250
632d3d29-8b76-4f30-9d83-f5be86f3d71e,Cam Reddish,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-10-29T23:30:00Z,299
5d4b8bba-6b24-44b9-912e-8b88f1937751,Kemba Walker,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-12-12T00:00:00Z,299
